,Predicates,Transformer,Transformer+BLRA+SABG
0,on,0.8191638116106108,0.2101040847604322
1,has,0.8155058548116408,0.4167503132477725
2,in,0.38609830943780826,0.2566043944958607
3,of,0.6364966101996625,0.47154400906215105
4,wearing,0.9747727290488767,0.4325559001303402
5,near,0.42031254743057783,0.11600258298303193
6,with,0.0808329411429142,0.3032991965606521
7,above,0.08784292821606254,0.13241669400251488
8,holding,0.7411383685616815,0.34981687535368516
9,behind,0.5877746436028305,0.4087487933764088
10,under,0.2927420332000485,0.33380790823538914
11,sitting on,0.302101445018797,0.39324125744047617
12,wears,0.0,0.4829212269826888
13,standing on,0.02073484287580032,0.5267968364377938
14,in front of,0.08127615062761506,0.24417712691771268
15,attached to,0.005797955974842767,0.43411949685534595
16,at,0.3450668218202334,0.6962229173908007
17,hanging from,0.042496679946879154,0.48027888446215145
18,over,0.1075268817204301,0.48810114616566225
19,for,0.04549180327868852,0.4756147540983607
20,riding,0.3646083398575093,0.8873600344530577
21,carrying,0.313203211517165,0.813516057585825
22,eating,0.3392935982339956,0.8002207505518765
23,walking on,0.1316460274905315,0.7376675603217158
24,playing,0.0,0.0
25,covering,0.012903225806451613,0.5427240143369175
26,laying on,0.0045045045045045045,0.5679429429429429
27,along,0.0,0.43272171253822633
28,watching,0.2459390827037886,0.5826118326118326
29,and,0.005917159763313609,0.35798816568047337
30,between,0.003472222222222222,0.22592592592592592
31,belonging to,0.0,0.34699504005423826
32,painted on,0.0,0.2110016420361248
33,against,0.0,0.23387096774193547
34,looking at,0.05789825970548862,0.3427423981640849
35,from,0.014084507042253521,0.13239436619718312
36,parked on,0.0056179775280898875,0.9410112359550562
37,to,0.0,0.48360655737704916
38,made of,0.0,0.25
39,covered in,0.17976190476190473,0.7103571428571429
40,mounted on,0.0,0.0
41,says,0.0,0.08333333333333333
42,part of,0.0,0.019547325102880656
43,across,0.0,0.1349206349206349
44,flying in,0.0,0.0
45,using,0.27166666666666667,0.4153219696969697
46,on back of,0.0,0.2541371158392435
47,lying on,0.0,0.032467532467532464
48,growing on,0.0,0.19181034482758622
49,walking in,0.0,0.007042253521126761
